run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_md5	fastq_ftp	submitted_ftp	sra_ftp	bam_ftp
ERR13827976	SAMEA116142977	ERX13230742	PRJEB61942	9606	Homo sapiens	14d2b44bec951dab617178d136f9b0ae;87c4847b16cf3b353f77d811c9febad7	ftp.sra.ebi.ac.uk/vol1/fastq/ERR138/076/ERR13827976/ERR13827976_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR138/076/ERR13827976/ERR13827976_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR138/ERR13827976/11144_16_L001_R2_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR138/ERR13827976/11144_1_L001_R1_001.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR138/076/ERR13827976/ERR13827976.bam
ERR13827977	SAMEA116142978	ERX13230743	PRJEB61942	9606	Homo sapiens	ffcf2cd7898f557b3953ecf0f53c8591;9ed1e4ad88e021a7fe4c30f1918b9f19	ftp.sra.ebi.ac.uk/vol1/fastq/ERR138/077/ERR13827977/ERR13827977_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR138/077/ERR13827977/ERR13827977_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR138/ERR13827977/11600_0_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR138/ERR13827977/11600_15_L001_R2_001.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR138/077/ERR13827977/ERR13827977.bam
ERR13827978	SAMEA116142979	ERX13230744	PRJEB61942	9606	Homo sapiens	bc83976a8f3f7b0e70afc0ddcacc99ab;8c70f5e1e8636d8ddeb0fffc022445a8	ftp.sra.ebi.ac.uk/vol1/fastq/ERR138/078/ERR13827978/ERR13827978_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR138/078/ERR13827978/ERR13827978_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR138/ERR13827978/11603_17_L001_R2_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR138/ERR13827978/11603_2_L001_R1_001.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR138/078/ERR13827978/ERR13827978.bam
ERR13827979	SAMEA116142980	ERX13230745	PRJEB61942	9606	Homo sapiens	de3f808799cc54e1cb6e404a5a530322;7d5ef8a94b43203cda1827b11976befb	ftp.sra.ebi.ac.uk/vol1/fastq/ERR138/079/ERR13827979/ERR13827979_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR138/079/ERR13827979/ERR13827979_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR138/ERR13827979/11614_18_L001_R2_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR138/ERR13827979/11614_3_L001_R1_001.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR138/079/ERR13827979/ERR13827979.bam
ERR13827983	SAMEA116142984	ERX13230749	PRJEB61942	9606	Homo sapiens	807bcf625a26b5c0bac614395c3c1e9d;25f76633fe2a6ed088aa3e057801adca	ftp.sra.ebi.ac.uk/vol1/fastq/ERR138/083/ERR13827983/ERR13827983_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR138/083/ERR13827983/ERR13827983_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR138/ERR13827983/21601_22_L001_R2_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR138/ERR13827983/21601_7_L001_R1_001.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR138/083/ERR13827983/ERR13827983.bam
ERR13827990	SAMEA116142991	ERX13230756	PRJEB61942	9606	Homo sapiens	905b8a5361a3290f07a3731984c38815;220ee74bd916113f108baf97f9ca4d71	ftp.sra.ebi.ac.uk/vol1/fastq/ERR138/090/ERR13827990/ERR13827990_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR138/090/ERR13827990/ERR13827990_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR138/ERR13827990/1604_150_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR138/ERR13827990/1604_151_L001_R2_001.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR138/090/ERR13827990/ERR13827990.bam
ERR13827993	SAMEA116142994	ERX13230759	PRJEB61942	9606	Homo sapiens	88f2474715b08f5eae54c1856967e0ef;439fed56e9d1dca26bce47a38fbf322f	ftp.sra.ebi.ac.uk/vol1/fastq/ERR138/093/ERR13827993/ERR13827993_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR138/093/ERR13827993/ERR13827993_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR138/ERR13827993/1611_74_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR138/ERR13827993/1611_75_L001_R2_001.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR138/093/ERR13827993/ERR13827993.bam
ERR13827998	SAMEA116142999	ERX13230764	PRJEB61942	9606	Homo sapiens	6c02af8272a8525681936bb99ce62aea;7c60271fec701fb6d62fdb1a94a4ee52	ftp.sra.ebi.ac.uk/vol1/fastq/ERR138/098/ERR13827998/ERR13827998_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR138/098/ERR13827998/ERR13827998_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR138/ERR13827998/1619_166_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR138/ERR13827998/1619_167_L001_R2_001.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR138/098/ERR13827998/ERR13827998.bam
ERR13828004	SAMEA116143005	ERX13230770	PRJEB61942	9606	Homo sapiens	4ca0daab42601f6a6f67f592edb43cf7;2dbbae2477a327d3380a731a027eb5e2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR138/004/ERR13828004/ERR13828004_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR138/004/ERR13828004/ERR13828004_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR138/ERR13828004/1632_122_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR138/ERR13828004/1632_123_L001_R2_001.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR138/004/ERR13828004/ERR13828004.bam
ERR13828005	SAMEA116143006	ERX13230771	PRJEB61942	9606	Homo sapiens	20a6fd87285b52fb2a0d03999942a6da;e8ac14feb49f4709804f1b111e878900	ftp.sra.ebi.ac.uk/vol1/fastq/ERR138/005/ERR13828005/ERR13828005_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR138/005/ERR13828005/ERR13828005_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR138/ERR13828005/1636_8_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR138/ERR13828005/1636_9_L001_R2_001.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR138/005/ERR13828005/ERR13828005.bam
