	ERR13827976	ERR13827977	ERR13827978	ERR13827979	ERR13827980	ERR13827981	ERR13827982	ERR13827983	ERR13827984	ERR13827985	ERR13827986	ERR13827987	ERR13827988	ERR13827989	ERR13827990	ERR13827991	ERR13827992	ERR13827993	ERR13827994	ERR13827996	ERR13827997	ERR13827998	ERR13828000	ERR13828001	ERR13828002	ERR13828003	ERR13828004	ERR13828005	ERR13828006	ERR13828007	ERR13828008	ERR13828010	ERR13828011	ERR13828012	ERR13828013	ERR13828015	ERR13828016	ERR13828017	ERR13828018	ERR13828019	ERR13828020	ERR13828021	ERR13828022	ERR13828023	ERR13828025	ERR13828026	ERR13828029	ERR13828030	ERR13828031	ERR13828032	ERR13828033	ERR13828034	ERR13828035	ERR13828036	ERR13828037	ERR13828038	ERR13828039	ERR13828040	ERR13828041	ERR13828042	ERR13828043	ERR13828044	ERR13828045	ERR13828046	ERR13828047	ERR13828048	ERR13828049	ERR13828050	ERR13828051	ERR13828052	ERR13828053	ERR13828054	ERR13828055	ERR13828056	ERR13828057	ERR13828058	ERR13828059	ERR13828060	ERR13828061	ERR13828062	ERR13828063	ERR13828064	ERR13828065	ERR13828066	ERR13828067	ERR13828068	ERR13828069
ERR13827976	0	0.259524722391658	0.288658910258696	0.237943180610796	0.876457626595016	0.452331812140251	0.385139273293192	0.57371770462416	0.663742695707803	0.771954752557638	0.529287311841812	0.823180423220614	0.467649487335418	0.551712441568332	0.568520764482554	0.82449053487362	0.625535322364358	0.669361953029721	0.717811739248039	0.595133848931805	0.578083450744052	0.572233039608408	0.696124713723343	0.779278573430826	0.727918936543404	0.620998356086352	0.571638988314258	0.61284584693855	0.923839650322701	0.570345583222255	0.506230597978195	0.406325948964617	0.987114779407399	0.42801302013014	0.472640395300465	0.678396789243106	0.359320356119625	0.51543354664567	0.958856991665564	0.94584373071477	0.637788280999135	0.84232168625859	0.492455821128884	0.507229325389933	0.718974444918917	0.493399274813833	0.484449739166087	0.656683223542336	0.655261717434549	0.892074655125778	0.427935518555696	1	0.550450589622568	0.389666970239015	0.513097723774642	0.611059414091229	0.507429656124452	0.598043916183507	0.718258148416807	0.359762235430899	0.739302365491587	0.553076196872758	0.510216931088239	0.59048187363374	0.581191321802223	0.94848467454942	0.502150340787462	0.519599834239106	0.85161971644012	0.35905978724009	0.905058155261023	0.297663645909471	0.617490563784872	0.581420256486677	0.586439793604279	0.531679167426852	0.625296246638069	0.625134162979455	0.679314166311678	0.68373076300797	0.761853307814528	0.707193692965801	0.662408389688718	0.601061809179458	0.597139347402102	0.565925242127067	0.573668302441706
ERR13827977	0.259524722391658	0	0.277032785745479	0.214102246628398	0.745038051754156	0.445806521427722	0.474673440451207	0.594983001178794	0.744585782798883	0.803511700848352	0.594321311971334	0.819338979007904	0.544841187858466	0.61014949999694	0.568488887077849	0.750186388511678	0.649231645022529	0.680629603740713	0.75777241171144	0.601626731175616	0.608456691856212	0.575656171751331	0.704746404091629	0.790262752132103	0.644085634367889	0.628509924961342	0.594391936884731	0.605269436717559	0.896674604519729	0.607872928171627	0.528813847370515	0.308796312134579	0.983611424499733	0.4262596954272	0.562160624898587	0.715719149016634	0.256751990048989	0.549165743293433	0.964148696917582	0.911215457685665	0.700591750026036	0.869828774587992	0.47198302341331	0.544705999705654	0.722478551784257	0.508456526238371	0.467782547698946	0.606133417604136	0.649873034730808	0.896870912566657	0.501027011390378	1	0.523694597019542	0.414074974162948	0.48880325253556	0.633526899142239	0.551800239929902	0.596197072229166	0.643929058284852	0.374262259705548	0.630137173890573	0.536482777238156	0.47787924565559	0.593824268458881	0.631825174780914	0.949862243140857	0.475367923482788	0.537813137944941	0.847423242917823	0.275974784784957	0.927256263205554	0.240999708623358	0.594264300956987	0.566227809320268	0.597789403945382	0.549988607040656	0.620197395110314	0.629072971127085	0.690010026837333	0.700939220193087	0.70431204801097	0.601178408429797	0.686942172949961	0.614209472035125	0.602771230475132	0.570954892405062	0.596027453998305
ERR13827978	0.288658910258696	0.277032785745479	0	0.298642826919786	0.852449335350448	0.504795061557845	0.545705970632927	0.633228422063373	0.727148896941954	0.812867618023609	0.598249675807737	0.832076797956398	0.539086210627539	0.713296083551764	0.644319242759556	0.822148246320943	0.724632843791722	0.785071908743822	0.828390234598512	0.672889357026572	0.673666820786035	0.651077230048186	0.705556886762699	0.810138153547866	0.676319586387731	0.680721029506778	0.642599676360212	0.66689365175663	0.792191529662619	0.643656079504472	0.586679558269485	0.258848748334562	0.983611424499733	0.509598390682113	0.66772149084365	0.7508292119919	0.355067101481242	0.457457436722411	0.964148696917582	0.927256347553791	0.707354344918817	0.849219170705439	0.573710212617125	0.576722325387645	0.738553009300408	0.553946154116344	0.552526721066197	0.607449810539098	0.542547723123138	0.907257295441541	0.552924153056948	1	0.579971331756621	0.525017362396547	0.578462253391067	0.690648018436795	0.571863925483102	0.663797972788643	0.693998475921652	0.314157087692819	0.687119435090154	0.617146339791529	0.558885278655876	0.636716991113126	0.626306100521178	0.949862243140856	0.529763702408445	0.624579161616583	0.847760760283885	0.443642830116549	0.94683387373641	0.328329954453553	0.666070460591311	0.659738564013316	0.646394117845049	0.598474718781842	0.680498313761059	0.688301719931909	0.74451253986036	0.727230617971005	0.729573825054907	0.646827915950072	0.727219018940212	0.669402908291579	0.677440897698904	0.606778561654297	0.643607787219866
ERR13827979	0.237943180610796	0.214102246628398	0.298642826919786	0	0.845960555588643	0.474091692588478	0.437226262511584	0.604263404682662	0.75900404207011	0.77847431299064	0.582294772804843	0.829728477012623	0.538352705228967	0.564425919839934	0.55104047531283	0.807487321051039	0.622079835607356	0.611195561187965	0.711402772980707	0.633752028883708	0.594638663966552	0.575711048806533	0.709874706768953	0.789807203998168	0.630124245504716	0.642051044382432	0.586059819177545	0.592062602289221	0.887642049974106	0.625863676776323	0.551586228853442	0.257273041692689	0.983611424499733	0.43385387920367	0.498303923925803	0.673587905118697	0.185094624966957	0.564483340426032	0.959362591425896	0.923590319664261	0.668958745773168	0.858683817934187	0.489505339983171	0.550189676566961	0.72534917451776	0.536338542525431	0.489971812416608	0.529193392187066	0.685120318102457	0.85177875363892	0.448172623855989	1	0.549627531151612	0.423403220690389	0.481781943952498	0.653674242288186	0.547739109513145	0.593457257050373	0.654141671437032	0.251259869750863	0.624792620601057	0.563212793881311	0.499794378190035	0.583739545703769	0.581707255856656	0.947164504649294	0.460134390046752	0.50809304896987	0.87327855245084	0.204817671663315	0.920165786746928	0.184659832004772	0.641433056817485	0.599665101317236	0.588502970465394	0.549226789524982	0.620006586309845	0.617037191006748	0.692271977837753	0.702587947740654	0.699502485143075	0.609530705982835	0.709090149138601	0.614180724876362	0.596950405856674	0.56211621637199	0.606378839376105
ERR13827980	0.876457626595016	0.745038051754156	0.852449335350448	0.845960555588643	0	0.824287925730064	0.881853637450494	0.811317739314632	0.916269515201314	0.911529987559789	0.862848932033463	0.745172875623603	0.83651448511389	0.958766461258111	0.802772886126048	0.400958445095928	0.868229264696981	0.923870532946994	1	0.894040569789893	0.909225606026283	0.962191150044572	0.874730981460232	0.910157564340362	0.871291293932577	0.903289193522185	0.910111176868376	0.931153310015478	0.980666034014735	0.890949473182638	0.898446961794838	0.836200420855372	0.56363005493353	0.795274651371157	0.943084719840791	0.895234182415776	0.810954316097034	0.790433985759119	0.695534063830706	0.478490011963505	0.923832259366576	0.53096303533367	0.834117634961566	0.774291526039115	0.734469659055728	0.770282746422666	0.862548432109167	0.704332456205169	0.836195040314845	0.986113393590797	0.903597448504056	0.942235004108464	0.781122140312669	0.860460583325939	0.830741024015506	0.933088635769762	0.764058221516706	0.901735812891273	0.933497677907695	0.883489695840527	0.870331554624635	0.843891191487843	0.784299041259354	0.917634014132806	0.843056696795399	0.434743281641182	0.849380500593223	0.841572622815714	0.513754488706127	0.776902683798184	0.975924404272802	0.829761201894376	0.834856385079378	0.861272430428983	0.943547756267184	0.920834302990415	0.964328344951281	0.956265483675397	0.930458021445308	0.898707055162323	0.934298588289224	0.831179306173293	0.914786332120653	0.904778631978677	0.896214259744749	0.889398983029402	0.92145912129317
ERR13827981	0.452331812140251	0.445806521427722	0.504795061557845	0.474091692588478	0.824287925730064	0	0.421260463282728	0.337772728332152	0.754387277764629	0.696646845942801	0.481576411490743	0.544449420681998	0.420676552347233	0.612230339889815	0.309684876871958	0.769951733700059	0.512851901397737	0.670740471928286	0.773368649672129	0.595736297169754	0.57736436140178	0.573307862711788	0.52825755683206	0.716371935667769	0.611978031419007	0.636670158155801	0.543075351642735	0.523902271946362	0.93062196788284	0.599252535959106	0.559627557115082	0.524791246689423	0.93993615978695	0.333548360510714	0.517015434725908	0.702163199899928	0.519863733337278	0.484782257917177	0.834577057260328	0.941304659947057	0.560296746153465	0.87172609905694	0.394587173173886	0.45728528569796	0.484270882062349	0.425618264642652	0.318537630365705	0.478494153040029	0.629831085992347	0.884026897963162	0.342869639211265	0.883929441574895	0.283635039946306	0.427192866218461	0.401013648363395	0.600977572833092	0.456273879233516	0.565964228523155	0.630998092178965	0.571997424252397	0.66793470482743	0.584323389309531	0.250876383743642	0.480731820716698	0.770857939662023	0.851291002347624	0.481645755774564	0.328702299513402	0.892018321800994	0.552613473286091	0.880128642432511	0.467858567299543	0.618112031387946	0.597467032677	0.570714070712872	0.511379371010395	0.61061557376547	0.602764408593286	0.652016220825471	0.590534065246717	0.665741305173125	0.586640113769487	0.668336800198515	0.566570153135098	0.535083223258024	0.458458425885081	0.597584585655898
ERR13827982	0.385139273293192	0.474673440451207	0.545705970632927	0.437226262511584	0.881853637450494	0.421260463282728	0	0.419212122404317	0.692203603400286	0.721419349829411	0.437852384746353	0.678209047426003	0.452224908640401	0.543349660103082	0.486600592884591	0.782510319290785	0.556910715395909	0.632109004739337	0.692831753554502	0.692477374052759	0.642581884987978	0.632253405740164	0.698726177479595	0.714859087235355	0.786373040999748	0.637620074106068	0.610254364110502	0.626337884332461	0.953599866809846	0.610492519844173	0.591540765251414	0.549821182214363	0.953078623428324	0.401532667621162	0.400781043110612	0.674464879902451	0.49303457874805	0.538434322030249	0.909107085869203	0.953816792721558	0.571337164989884	0.834384738034898	0.433030869421277	0.509037914142009	0.5583526490225	0.511511709404865	0.399641125835194	0.651715582223983	0.686867471524537	0.860520727940785	0.293297508264097	0.972600710900474	0.517915007161186	0.434488705152134	0.485698799533311	0.679974979269186	0.489832402930308	0.620551798283887	0.756735887755966	0.547953181754769	0.797618602023579	0.627809345313665	0.496230407294377	0.604417327301872	0.71503550647161	0.88984089409207	0.544890394976507	0.483345800773895	0.884774881516588	0.518242724581636	0.870704976303318	0.462800037491447	0.719637447465875	0.685065092487189	0.626526451729284	0.572404627326454	0.677030545900609	0.652345610218101	0.700972276882644	0.644733381566794	0.790922469796095	0.762266321230541	0.643197418646138	0.617545930192222	0.630320432985982	0.60932023397557	0.616048396230477
ERR13827983	0.57371770462416	0.594983001178794	0.633228422063373	0.604263404682662	0.811317739314632	0.337772728332152	0.419212122404317	0	0.684503976232879	0.68288829899599	0.37511106488835	0.356984742105094	0.395700932112944	0.717314744574292	0.329892321429581	0.750126939789454	0.53146437660899	0.757683690469351	0.837306830585397	0.671248230060216	0.650044546138193	0.676957088773012	0.500837251126983	0.696305909849761	0.650006305351681	0.637450531147973	0.594749971284812	0.598219791632324	0.93556037034505	0.607358475670266	0.620530986382803	0.644059569989338	0.940524497850831	0.384010111099823	0.621289355720624	0.71870932646602	0.643164135775642	0.487746663581427	0.818573845914751	0.950905533333671	0.603252129865078	0.857294812567898	0.405427348805936	0.507171386665493	0.394683974362268	0.488565209370506	0.421768730325624	0.508931509810166	0.621396241194072	0.856264721089217	0.372255058903954	0.827770437180445	0.400133493736623	0.584166844688292	0.552880595053793	0.662715136179636	0.47496822070592	0.590034344578395	0.723861666493554	0.665518352644669	0.756165105950517	0.617615296243845	0.325689040478359	0.57276604509455	0.83006836330212	0.821318726342989	0.636535936728353	0.316814361169016	0.87579466009256	0.675048099752756	0.939334750387775	0.58940762017944	0.696904435168366	0.6560556635833	0.664080902902086	0.594505664318947	0.71190244638558	0.664040018155952	0.667384496813855	0.611295339186822	0.718332271401832	0.660119292923403	0.662769919456481	0.55474336659157	0.607050134689586	0.557106165024662	0.607195292166635
ERR13827984	0.663742695707803	0.744585782798883	0.727148896941954	0.75900404207011	0.916269515201314	0.754387277764629	0.692203603400286	0.684503976232879	0	0.871844772816504	0.55148070204396	0.745848938826467	0.656001178506979	0.745174992800393	0.838413011583525	0.885651790867941	0.84128986273285	0.854302422723475	0.80515873015873	0.7884252172079	0.814294129832466	0.850959923989397	0.872828090405386	0.821863437605113	0.906029674427349	0.770717007263823	0.845128061540275	0.877901766046096	0.984109345482831	0.707515332896515	0.712659346985772	0.807812325866488	0.9757140312333	0.695793344964548	0.625828057619965	0.570407930645928	0.801630872863373	0.701457045922695	0.929228481973554	0.980677892918826	0.672121971595656	0.871918993768751	0.691740635987928	0.725783244372244	0.725100049462656	0.74020336564191	0.760459145144238	0.776836447187469	0.832641912078532	0.84047619047619	0.615408080560409	0.982142857142857	0.810178158316707	0.753866618238357	0.779565567176187	0.779501915708812	0.752160373686259	0.804242323433519	0.887701124090809	0.79929048129799	0.887513487591416	0.80201857663083	0.831883735187899	0.878462939569318	0.822808421994973	0.924434622890598	0.731021075712009	0.820797434594719	0.779891807246067	0.827398856451641	0.967063492063492	0.78056566944407	0.808854695892002	0.81774555107659	0.834989619377163	0.795952694176712	0.889583795148755	0.86115569823435	0.801971746553027	0.779029222652066	0.899317950025497	0.876011705321788	0.774010470704686	0.792649395606731	0.854356160444721	0.869904848963311	0.722635567491395
ERR13827985	0.771954752557638	0.803511700848352	0.812867618023609	0.77847431299064	0.911529987559789	0.696646845942801	0.721419349829411	0.68288829899599	0.871844772816504	0	0.691274767451654	0.82286423262695	0.599742317537239	0.701274580622247	0.666194047872516	0.933256372087371	0.670038894865871	0.702657925733061	0.67876646321876	0.781589192196563	0.80597951817415	0.817341887850998	0.851718235503683	0.943684325002763	0.880695292457217	0.87733169332711	0.802371998509349	0.797597538845581	1	0.807342515826038	0.796565970494228	0.84479408171332	0.985867822575857	0.710153449580354	0.705042190528005	0.886809665899986	0.818654259862676	0.748090435356101	0.916117674911746	0.994818652849741	0.684096234804809	0.972536348949919	0.777266331401412	0.666780911198422	0.790306573275372	0.7027023635182	0.741025591637442	0.834026166466552	0.810661364051102	0.974622550594282	0.743784792689963	0.974622550594282	0.670734110974833	0.774465450071483	0.761668310738013	0.803756165694145	0.742369878222605	0.815251391979911	0.884029312188515	0.750379957906195	0.883153399932133	0.83909403350356	0.688921443052648	0.740810495079684	0.806617410857694	0.933969646288724	0.815440443922853	0.657960006700294	0.971101145989038	0.782969834893942	0.850103570123066	0.780554058612849	0.807125303974637	0.813357620033123	0.837504657886283	0.837282143321352	0.839791393203911	0.856645374847225	0.903618677748776	0.844873664293271	0.905979092299847	0.875278538802701	0.884811494320007	0.815706055821272	0.800426595427443	0.773195121537448	0.815507188182539
