name	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	V86	V87	V88
Bacteroides	4034	3533	6248	3913	3168	1627	731	2695	265	339	680	2439	1896	123	5261	5108	378	73	85	720	1071	0	3668	49	286	0	655	1288	0	4251	5050	2458	965	4349	418	141	1532	5189	4101	558	317	1466	1925	5050	2015	4390	1508	6347	14693	61	331	0	3495	3314	916	610	7491	1064	225	13827	131	546	5492	1374	479	7060	12258	1448	299	5195	0	6315	773	757	53	1724	253	182	0	874	200	220	0	614	1490	2634	1686	4010
Bifidobacterium	0	0	0	0	631	12	175	1069	265	0	269	2555	0	62	0	5756	0	0	0	2632	941	792	20	1141	26	2099	210	0	2289	2093	2458	69	3642	1172	175	174	100	33	3397	4417	284	2196	3279	48	3172	187	951	832	176	0	355	0	50	125	488	3194	108	1386	118	67	27	830	0	0	0	6891	1138	0	621	44	0	183	1901	1784	1731	1139	519	1618	4242	2006	400	214	733	1252	93	42	8348	3203
Blautia	2040	2189	2558	2193	449	1706	1257	5571	783	941	1404	3736	1673	627	8445	2262	1050	313	0	5372	4455	3874	3748	1020	1848	2974	6141	3039	0	7374	8096	1496	0	2887	997	332	1647	6865	0	0	942	0	4076	5401	3324	3726	4165	1344	16483	53	981	0	1490	1860	1483	4312	6157	5778	1489	2383	2095	6701	4482	8653	128	449	2431	3451	169	1434	152	4197	4016	4528	4092	6195	2639	3322	4775	15872	3175	1941	2690	8918	2715	3701	10147	4900
Clostridium sensu stricto 1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	74	803	466	232	136	356	218	327	0	257	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	243	0	70	0	0	0	0	96	0	53	0	176	126	0	42	343	0	0	0	0	125	0	0	0	0	0	130	41	1063	266	1871	1903	1215	78	16	271	151	283	657	413	178	182
Collinsella	0	0	0	0	629	172	131	132	0	0	27	525	29	41	1542	1099	82	21	0	1189	1040	689	120	2185	508	3096	360	0	0	461	227	211	861	321	33	132	123	892	309	850	39	562	359	637	817	264	1473	1030	770	0	21	0	201	105	223	1088	756	2046	401	176	341	658	282	1019	0	2021	600	71	37	214	25	204	1477	1641	1646	963	992	883	2155	3913	437	768	1422	931	700	197	809	551
Dorea	159	156	140	176	0	262	0	138	54	0	109	55	160	37	992	0	0	0	0	1031	545	947	562	82	989	1040	604	580	0	1045	1419	116	0	197	221	0	176	0	0	0	0	0	224	0	240	0	170	271	0	0	117	0	167	65	127	750	0	774	809	217	701	1225	469	467	0	0	88	404	0	187	32	356	629	1006	1075	1653	955	1048	1190	724	986	614	597	955	585	403	1445	1099
Escherichia-Shigella	0	0	0	0	112	1134	150	2946	43	101	33	2870	0	0	4005	130	344	0	0	87	112	15	10971	434	7950	151	130	511	70	58	0	0	29	351	96	0	0	1050	336	60	230	0	419	227	198	35	163	3146	17	33	475	1457	1082	0	220	7	0	215	875	0	3210	22	4297	489	0	458	296	2061	0	0	0	24	12	0	34	0	201	50	137	728	2142	4588	38	91	48	837	0	72
Paraclostridium	55	0	0	148	0	0	217	0	0	0	0	86	0	245	0	297	404	0	3	706	983	2067	124	1571	105	1936	810	552	1069	1524	548	0	0	0	0	98	0	0	40	0	84	60	0	185	0	71	1094	178	96	4	0	0	0	717	663	475	106	1245	243	47	65	1750	0	280	0	173	580	0	0	227	0	120	597	1182	2223	674	3661	3367	2336	722	62	357	1619	848	498	459	571	1242
Roseburia	1733	2295	1542	1393	0	1899	564	1084	620	301	295	1030	685	379	1910	0	369	79	204	8526	4828	5875	1417	875	3165	2418	1802	1722	770	4578	7189	857	0	1756	687	439	1234	1743	0	0	398	0	3273	1179	866	1868	3051	1495	3664	0	453	0	929	1677	1655	5969	1984	3659	3668	915	8622	3816	2382	3528	0	0	4204	475	0	1110	176	1527	6419	6123	5758	5597	3980	3431	4099	8444	4500	4280	1538	3265	1613	2921	7493	5095
Ruminococcus	774	1286	866	1103	0	548	337	831	46	212	84	295	405	373	1075	0	379	96	260	2857	498	3442	351	306	406	1097	2259	3198	0	849	1985	1809	0	846	152	162	1248	548	8	0	401	0	1026	1498	278	825	1030	410	5010	18	146	0	690	2402	514	1764	1419	3427	237	2379	143	2412	1018	665	139	0	6181	486	0	1600	150	3726	2549	3005	1686	2273	3206	4070	2776	133	158	479	374	3184	1555	577	2492	1560
Streptococcus	216	1090	1465	2560	217	0	0	89	0	0	0	0	0	0	206	0	228	0	0	159	0	17	0	155	6932	443	0	177	469	0	0	3444	51	0	0	142	2709	0	0	72	0	0	411	117	0	276	0	3309	0	166	0	0	162	0	0	0	35	134	6037	6292	11517	290	897	339	199	0	0	282	0	3783	0	3468	91	520	0	14	0	0	0	834	14944	3957	79	0	56	148	0	205
