name	ERR13827976	ERR13827977	ERR13827978	ERR13827979	ERR13827983	ERR13827990	ERR13827993	ERR13827998	ERR13828004	ERR13828005	ERR13828010	ERR13828016	ERR13828019	ERR13828022	ERR13828023	ERR13828025	ERR13828026	ERR13828027	ERR13828028	ERR13828032	ERR13828035	ERR13828036	ERR13828043	ERR13828045	ERR13828047	ERR13828050	ERR13828052	ERR13828056	ERR13828059	ERR13828060	ERR13828061	ERR13827980	ERR13827986	ERR13827987	ERR13827994	ERR13827995	ERR13827981	ERR13827996	ERR13827982	ERR13827984	ERR13827997	ERR13827985	ERR13827988	ERR13828003	ERR13827989	ERR13828006	ERR13827991	ERR13828007	ERR13827992	ERR13828009	ERR13827999	ERR13828011	ERR13828000	ERR13828013	ERR13828001	ERR13828030	ERR13828002	ERR13828034	ERR13828046	ERR13828008	ERR13828048	ERR13828053	ERR13828012	ERR13828058	ERR13828014	ERR13828015	ERR13828017	ERR13828018	ERR13828020	ERR13828021	ERR13828024	ERR13828029	ERR13828031	ERR13828033	ERR13828037	ERR13828038	ERR13828039	ERR13828040	ERR13828041	ERR13828042	ERR13828044	ERR13828049	ERR13828051	ERR13828054	ERR13828055	ERR13828057	ERR13828062	ERR13828063
Bacteroides	4034	3533	6248	3913	3168	1627	731	2695	265	339	680	2439	1896	123	5261	5108	378	73	85	720	1071	0	3668	49	286	0	655	1288	0	4251	5050	2458	965	4349	418	141	1532	5189	4101	558	317	1466	1925	5050	2015	4390	1508	6347	14693	61	331	0	3495	3314	916	610	7491	1064	225	13827	131	546	5492	1374	479	7060	12258	1448	299	5195	0	6315	773	757	53	1724	253	182	0	874	200	220	0	614	1490	2634	1686	4010
Bifidobacterium	0	0	0	0	631	12	175	1069	265	0	269	2555	0	62	0	5756	0	0	0	2632	941	792	20	1141	26	2099	210	0	2289	2093	2458	69	3642	1172	175	174	100	33	3397	4417	284	2196	3279	48	3172	187	951	832	176	0	355	0	50	125	488	3194	108	1386	118	67	27	830	0	0	0	6891	1138	0	621	44	0	183	1901	1784	1731	1139	519	1618	4242	2006	400	214	733	1252	93	42	8348	3203
Blautia	2040	2251	2685	2193	449	1792	1257	5571	783	941	1404	3736	1673	627	8519	2346	1050	313	0	5457	4569	4073	3863	1178	1985	3132	6289	3267	1768	7783	8373	1496	0	3046	997	332	1647	7319	0	0	942	0	4076	5604	3324	3842	4165	1344	17045	53	981	0	1580	1860	1483	4498	6335	5830	1600	2383	2178	6825	4810	8909	128	550	2431	3451	169	1434	152	4197	4117	4669	4322	7244	2873	3621	4961	15994	3369	2171	3094	9053	2976	3801	10495	5098
Clostridioides	55	0	0	148	0	0	217	0	0	0	0	86	0	245	0	297	404	0	3	706	983	2067	124	1571	105	1936	810	552	1069	1524	548	0	0	0	0	98	0	0	40	0	84	60	0	185	0	71	1094	178	96	4	0	0	0	717	663	475	106	1245	243	47	65	1750	0	280	0	173	580	0	0	227	0	120	597	1182	2223	674	3661	3367	2336	722	62	357	1619	848	498	459	571	1242
Clostridium sensu stricto 1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	74	803	466	232	136	356	218	327	0	257	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	243	0	70	0	0	0	0	96	0	53	0	176	126	0	42	343	0	0	0	0	125	0	0	0	0	0	130	41	1063	266	1871	1903	1215	78	16	271	151	283	657	413	178	182
Collinsella	0	0	0	0	629	172	131	132	0	0	27	525	29	41	1542	1099	82	21	0	1189	1040	689	120	2185	508	3096	360	0	0	461	227	211	861	321	33	132	123	892	309	850	39	562	359	637	817	264	1473	1030	770	0	21	0	201	105	223	1088	756	2046	401	176	341	658	282	1019	0	2021	600	71	37	214	25	204	1477	1641	1646	963	992	883	2155	3913	437	768	1422	931	700	197	809	551
Escherichia-Shigella	0	0	0	0	112	1134	150	2946	43	101	33	2870	0	0	4005	130	344	0	0	87	112	15	10971	434	7950	151	130	511	70	58	0	0	29	351	96	0	0	1050	336	60	230	0	419	227	198	35	163	3146	17	33	475	1457	1082	0	220	7	0	215	875	0	3210	22	4297	489	0	458	296	2061	0	0	0	24	12	0	34	0	201	50	137	728	2142	4588	38	91	48	837	0	72
Pseudobutyrivibrio	77	83	134	0	0	0	0	0	0	0	0	0	0	0	237	0	0	0	0	539	199	367	75	239	160	243	377	100	0	322	690	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	270	0	0	0	0	60	0	298	0	534	188	58	199	238	245	595	0	0	47	228	0	137	0	284	420	369	366	159	242	427	156	28	61	227	198	715	644	379	658	366
Roseburia	1733	2295	1542	1393	0	1899	564	1084	620	301	295	1030	685	379	1910	0	369	79	204	8526	4828	5875	1417	875	3165	2418	1802	1722	770	4578	7189	857	0	1756	687	439	1234	1743	0	0	398	0	3273	1179	866	1868	3051	1495	3664	0	453	0	929	1677	1655	5969	1984	3659	3668	915	8622	3816	2382	3528	0	0	4204	475	0	1110	176	1527	6419	6123	5758	5597	3980	3431	4099	8444	4500	4280	1538	3265	1613	2921	7493	5095
Roseibacillus	340	765	3187	859	589	48	0	0	0	0	12	2473	0	0	18	5529	0	157	0	105	11	70	0	0	0	0	0	79	2519	0	0	2502	73	40	15	116	1552	6166	0	4364	132	106	127	0	598	0	311	1747	54688	0	0	2424	0	0	648	0	86	165	0	3562	0	0	77	0	0	301	206	0	0	616	0	1621	0	0	0	0	0	0	189	0	0	0	0	0	0	206	0	0
Streptococcus	216	1090	1465	2560	217	0	0	89	0	0	0	0	0	0	206	0	228	0	0	159	0	17	0	155	6932	443	0	177	469	0	0	3444	51	0	0	142	2709	0	0	72	0	0	411	117	0	276	0	3309	0	166	0	0	162	0	0	0	35	134	6037	6292	11517	290	897	339	199	0	0	282	0	3783	0	3468	91	520	0	14	0	0	0	834	14944	3957	79	0	56	148	0	205
